"CODIGO_DANE","MUNICIPIO","DEPTO","COD_LOCAL","LOCAL","EST_DIRECCION","NIT","OPERADOR","CONTRATO"
"05001","MEDELLÍN","ANTIOQUIA","61.121","WINNER GROUP S.A.","CL 51   51  69","830037843","BROADWAY BOYACA","C1817"
"05001","MEDELLÍN","ANTIOQUIA","61.181","WINNER GROUP S.A.","CL 34   43  79","830037843","RIO CASINO MEDELLIN","C1940"
"05001","MEDELLÍN","ANTIOQUIA","61.160","WINNER GROUP S.A.","CR 66 B  34 A 76 LOCAL 369","830037843","BROADWAY UNICENTRO MEDELLIN","C2093"
"05001","MEDELLÍN","ANTIOQUIA","61.134","WINNER GROUP S.A.","CL 50   52  56","830037843","BROADWAY COLOMBIA","C1817"
"05001","MEDELLÍN","ANTIOQUIA","61.221","RECREACIONES JROYAL SAS","CL 117 B  39  23  SAN JAVIER","901516625","BILLARES 4 ESQUINAS CYA","C2162"
"05001","MEDELLÍN","ANTIOQUIA","61.263","JM HOLDING INVERSIONES SAS","CL 49   29  5","901281374","TIENDA MIXTABAR RENOS","C2160"
"05001","MEDELLÍN","ANTIOQUIA","60.324","JM EGROUP SAS","CL 45   103  2  SAN JAVIER","901709797","MERCADOS ORTIZ","C2019"
"05001","MEDELLÍN","ANTIOQUIA","60.323","JM EGROUP SAS","CL 39 D  114  26  SAN JAVIER","901709797","LAS VEGAS SAN JAVIER EL SALADO","C2019"
"05001","MEDELLÍN","ANTIOQUIA","60.096","EDS INVERSIONES S.A.S.","Carrera 80 No. 52 70","900624957","ENGRANDE 235","C1836"
"05001","MEDELLÍN","ANTIOQUIA","60.094","EDS INVERSIONES S.A.S.","Calle 44 A No. 57 A 39","900624957","ENGRANDE 232","C1862"
"05001","MEDELLÍN","ANTIOQUIA","60.499","INVERSIONES GAMBLING SAS","CR 67   106  19","901493089","SALA DE JUEGOS GRATAMIRA","C1884"
"05001","MEDELLÍN","ANTIOQUIA","54.108","INVERPRO GS SAS","CR 49 A  93  63","901076127","L&D COMUNICACIONES ARANJUEZ","C1887"
"05001","MEDELLÍN","ANTIOQUIA","54.085","INVERPRO GS SAS","CR 68   98  9","901076127","MULTISERVICIOS Y  JUEGOS CASTILLA","C1887"
"05001","MEDELLÍN","ANTIOQUIA","54.794","INVERSIONES DUBAI INC SAS","CR 51   41  259","901169896","DUBAI BOLIVAR","C1865"
"05001","MEDELLÍN","ANTIOQUIA","56.394","RIO CLARO S.A.","CL 52   47  12  LA CANDELARIA","811042314","CASINO REAL PLAYA","C1924"
"05001","MEDELLÍN","ANTIOQUIA","57.435","INVERSIONES GAMBLING SAS","CARRERA 32 No. 75 C - 74","901493089","CASINO LUXXOR","C1884"
"05001","MEDELLÍN","ANTIOQUIA","57.918","INV TORRES ALM","CR 64 C  78  580 LC 050 CARIBE","900147047","CASINO NEW YORK TN","C1996"
"05001","MEDELLÍN","ANTIOQUIA","51.878","INVERSIONES RIOS VASQUEZ S.A.S.","CR 83   101 D 40","900566806","SALSAMENTARIA CASAMAR","C1713"
